EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
10Y1001A1001A008;BE-FR-NL-MARKET;Market coupling area Belgium - France - Netherlands;;;Active;;;;Scheduling Area;Y
10Y1001A1001A016;GB-NI;Northern Ireland;;;Active;BT6 9RT;GB;;Control Area,LFC Area,LFC Block,Scheduling Area;Y
10Y1001A1001A39I;EE;Estonia;;;Active;;;;Bidding Zone,Control Area,LFC Area,Member State,Scheduling Area;Y
10Y1001A1001A42T;CB-ES;CB Spain;;10XES-REE------E;Active;;;;Control Block;Y
10Y1001A1001A44P;SE1;Swedish Elspot Area 1;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A45N;SE2;Swedish Elspot Area 2;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A46L;SE3;Swedish Elspot Area 3;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A47J;SE4;Swedish Elspot Area 4;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A48H;NO5;Norwegian Area Elspot Area 5;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A49F;RUSSIAN_AREA;Russian area;;;Active;;;;Control Area,Member State,Scheduling Area;Y
10Y1001A1001A50U;KALININGRAD_AREA;Kaliningrad area;;;Active;;;;Bidding Zone,Control Area,Scheduling Area;Y
10Y1001A1001A51S;BELARUS_AREA;Belarus area;;;Active;;;;Bidding Zone,Control Area,Member State,Scheduling Area;Y
10Y1001A1001A52Q;CZ-SK-HU-MARKET;Market coupling area Czech Republic – Slovakia –  Hungary;;;Active;;;;Market Area;Y
10Y1001A1001A53O;NWE-EU;NWE Region;;;Active;;;;Scheduling Area;Y
10Y1001A1001A54M;CB_PORTUGAL;Control Block Portugal;;10XPT-REN------9;Active;;;;Control Block;Y
10Y1001A1001A55K;LT_BEL_IMP_AREA;Lithuania-Belarus Import Area;;;Active;;;;Bidding Zone;Y
10Y1001A1001A56I;LT_BEL_EXP_AREA;Lithuania-Belarus Export Area;;;Active;;;;Bidding Zone;Y
10Y1001A1001A57G;GB_N2EX_PRICZONE;Bidding Zone - Great Britain (N2EX);;;Active;;;;Bidding Zone;Y
10Y1001A1001A58E;GB_APX_PRICEZONE;Bidding Zone - Great Britain (APX);;;Active;;;;Bidding Zone;Y
10Y1001A1001A59C;SEM;Ireland and Northern Ireland;;;Active;;;;Bidding Zone,Scheduling Area,Synchronous Area;Y
10Y1001A1001A62N;CZ-SK-HU-RO-MCA;Market coupling area Czech Republic – Slovakia – Hungary- Romania;;;Active;;;;Market Area;Y
10Y1001A1001A63L;DE_AT_LU;Germany_Austria_Luxemburg;;;Active;;;;Bidding Zone;Y
10Y1001A1001A64J;FICTIT_AREA_1A;Norwegian Fictitious Area 1A;;;Active;;;;Scheduling Area;Y
10Y1001A1001A65H;DK;Denmark;;10X1001A1001A248;Active;7000;DK;;Control Area,Member State;Y
10Y1001A1001A66F;IT-GR;Italy Greece;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A67D;IT-NORTH_SI;Italy North_Slovenia;;;Active;;;;Bidding Zone;Y
10Y1001A1001A68B;IT-NORTH_CH;Italy North_Switzerland;;;Active;;;;Bidding Zone;Y
10Y1001A1001A70O;IT-CENTRE_NORTH;Italy Centre-North;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A71M;IT-CENTRE_SOUTH;Italy Centre-South;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A73I;IT-NORTH;Italy North;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A74G;IT-SARDINIA;Italy Sardinia;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A75E;IT-SICILY;Italy Sicily;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A788;IT-SOUTH;Italy South;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001A1001A796;CA-------DENMARK;Control Area Denmark;;10X1001A1001A248;Active;7000;DK;;Control Area;Y
10Y1001A1001A80L;IT-NORTH_AT;Italy North_Austria;;;Active;;;;Bidding Zone;Y
10Y1001A1001A81J;IT-NORTH_FR;Italy North_France;;;Active;;;;Bidding Zone;Y
10Y1001A1001A82H;DE_LU;Germany_Luxemburg;;;Active;;;;Bidding Zone,LFC Area,Scheduling Area;Y
10Y1001A1001A83F;DE;Germany;;;Active;;;;Member State;Y
